period_end,fiscal_year,fiscal_quarter,revenue,cfo,capex,fcf
2021-03-31,2021,1,52314000.0,-15948000.0,803000.0,-16751000.0
2021-06-30,2021,2,60692000.0,601000.0,1152000.0,-551000.0
2021-09-30,2021,3,74173000.0,-15960000.0,1566000.0,-17526000.0
2021-12-31,2021,4,84699000.0,-3105000.0,1486000.0,-4591000.0
2022-03-31,2022,1,101314000.0,-19403000.0,1297000.0,-20700000.0
2022-06-30,2022,2,113563000.0,-6394000.0,1376000.0,-7770000.0
2022-09-30,2022,3,144836000.0,5985000.0,1961000.0,4024000.0
2022-12-31,2022,4,167203000.0,-6719000.0,2613000.0,-9332000.0
2023-03-31,2023,1,190770000.0,9483000.0,2510000.0,6973000.0
2023-06-30,2023,2,207912000.0,16826000.0,6864000.0,9962000.0
2023-09-30,2023,3,226699000.0,25191000.0,5920000.0,19271000.0
2023-12-31,2023,4,246619000.0,21983000.0,11198000.0,10785000.0
2024-03-31,2024,1,278171000.0,25838000.0,13958000.0,11880000.0
2024-06-30,2024,2,315648000.0,53594000.0,6026000.0,47568000.0
2024-09-30,2024,3,401556000.0,85267000.0,5881000.0,79386000.0
2024-12-31,2024,4,481139000.0,86385000.0,26885000.0,59500000.0
2025-03-31,2025,1,586010000.0,109090000.0,55327000.0,53763000.0
2025-06-30,2025,2,544833000.0,-19117000.0,50315000.0,-69432000.0
2025-09-30,2025,3,598976000.0,148721000.0,69357000.0,79364000.0
2025-12-31,2025,4,617818000.0,61312000.0,63881000.0,-2569000.0
2026-03-31,2026,1,608104000.0,89356000.0,29844000.0,59512000.0
