period_end,fiscal_year,fiscal_quarter,revenue,cfo,capex,fcf
2019-10-27,2020,3,3014000000.0,1640000000.0,103000000.0,1537000000.0
2020-01-26,2020,4,3105000000.0,1465000000.0,145000000.0,1320000000.0
2020-04-26,2021,1,3080000000.0,909000000.0,155000000.0,754000000.0
2020-07-26,2021,2,3866000000.0,1567000000.0,217000000.0,1350000000.0
2020-10-25,2021,3,4726000000.0,1279000000.0,473000000.0,806000000.0
2021-01-31,2021,4,5003000000.0,2067000000.0,283000000.0,1784000000.0
2021-05-02,2022,1,5661000000.0,1874000000.0,298000000.0,1576000000.0
2021-08-01,2022,2,6507000000.0,2682000000.0,183000000.0,2499000000.0
2021-10-31,2022,3,7103000000.0,1519000000.0,222000000.0,1297000000.0
2022-01-30,2022,4,7643000000.0,3033000000.0,273000000.0,2760000000.0
2022-05-01,2023,1,8288000000.0,1731000000.0,361000000.0,1370000000.0
2022-07-31,2023,2,6704000000.0,1270000000.0,433000000.0,837000000.0
2022-10-30,2023,3,5931000000.0,392000000.0,530000000.0,-138000000.0
2023-01-29,2023,4,6051000000.0,2248000000.0,509000000.0,1739000000.0
2023-04-30,2024,1,7192000000.0,2911000000.0,248000000.0,2663000000.0
2023-07-30,2024,2,13507000000.0,6348000000.0,289000000.0,6059000000.0
2023-10-29,2024,3,18120000000.0,7332000000.0,278000000.0,7054000000.0
2024-01-28,2024,4,22103000000.0,11499000000.0,254000000.0,11245000000.0
2024-04-28,2025,1,26044000000.0,15345000000.0,369000000.0,14976000000.0
2024-07-28,2025,2,30040000000.0,14488000000.0,977000000.0,13511000000.0
2024-10-27,2025,3,35082000000.0,17627000000.0,813000000.0,16814000000.0
2025-01-26,2025,4,39331000000.0,16629000000.0,1077000000.0,15552000000.0
2025-04-27,2026,1,44062000000.0,27414000000.0,1227000000.0,26187000000.0
2025-07-27,2026,2,46743000000.0,15365000000.0,1895000000.0,13470000000.0
2025-10-26,2026,3,57006000000.0,23751000000.0,1636000000.0,22115000000.0
2026-01-25,2026,4,68127000000.0,36188000000.0,1284000000.0,34904000000.0
2026-04-26,2027,1,81615000000.0,50344000000.0,1757000000.0,48587000000.0
