period_end,fiscal_year,fiscal_quarter,revenue,cfo,capex,fcf
2020-09-30,2020,3,289366000.0,-51990000.0,1530000.0,-53520000.0
2020-12-31,2020,4,322091000.0,-18288000.0,4761000.0,-23049000.0
2021-03-31,2021,1,341234000.0,116881000.0,708000.0,116173000.0
2021-06-30,2021,2,375642000.0,22750000.0,697000.0,22053000.0
2021-09-30,2021,3,392146000.0,100793000.0,5378000.0,95415000.0
2021-12-31,2021,4,432867000.0,93427000.0,5844000.0,87583000.0
2022-03-31,2022,1,446357000.0,35477000.0,15215000.0,20262000.0
2022-06-30,2022,2,473010000.0,62431000.0,5458000.0,56973000.0
2022-09-30,2022,3,477880000.0,47066000.0,14436000.0,32630000.0
2022-12-31,2022,4,508624000.0,78763000.0,4918000.0,73845000.0
2023-03-31,2023,1,525186000.0,187376000.0,4755000.0,182621000.0
2023-06-30,2023,2,533317000.0,90192000.0,3934000.0,86258000.0
2023-09-30,2023,3,558159000.0,133443000.0,1565000.0,131878000.0
2023-12-31,2023,4,608350000.0,301172000.0,4860000.0,296312000.0
2024-03-31,2024,1,634338000.0,129579000.0,2664000.0,126915000.0
2024-06-30,2024,2,678134000.0,144187000.0,2879000.0,141308000.0
2024-09-30,2024,3,725516000.0,419772000.0,3985000.0,415787000.0
2024-12-31,2024,4,827519000.0,460327000.0,3106000.0,457221000.0
2025-03-31,2025,1,883855000.0,310263000.0,6184000.0,304079000.0
2025-06-30,2025,2,1003697000.0,539251000.0,7634000.0,531617000.0
2025-09-30,2025,3,1181092000.0,507664000.0,6792000.0,500872000.0
2025-12-31,2025,4,1406802000.0,777295000.0,13272000.0,764023000.0
2026-03-31,2026,1,1632583000.0,899165000.0,7401000.0,891764000.0
2026-06-30,2026,2,1935464000.0,1216167000.0,14554000.0,1201613000.0
